id,address,latitude,longitude
81,"Kipling Heights Plaza 2291 Kipling Ave, Unit 123 Toronto, ON M9W 4L6",43.7292739,-79.5739526
82,"93 Birchmount Rd Toronto, ON M1N 3J7",43.695435,-79.2621175
83,"830 St Clair Ave W Toronto, ON M6M 1C1",43.6807389,-79.431146
84,"815 Danforth Ave, Main floor Toronto, ON M4J 1L2",43.6795502,-79.3407742
85,"251 Consumers Rd, Suite 601 Toronto, ON M2J 4R3",43.7699977,-79.3305213
86,"179 Dowling Ave Toronto, ON M6K 3B2",43.6392812,-79.439286
87,"46 St Clair Gdns Toronto, ON M6E 3V4",43.6789223,-79.4460885
89,"86 Blake St Toronto, ON M4J 3C9",43.6750547,-79.3397797
90,"2206 Eglinton Ave E, Suite 124 Toronto, ON M1L 4S7",43.730518,-79.2799976
91,"1200 Markham Rd, Suite 503 Toronto, ON M1H 3C3",43.7773311,-79.2330439
92,"1070 Queen St E, Unit 134 Toronto, ON M4M 3M4",43.6618935,-79.3370483
93,"830 St Clair Ave W Toronto, ON M6C 1C1",43.6807389,-79.431146
94,"552 Adelaide St W Toronto, ON M5V 3W8",43.6454499,-79.40243
96,"3225 Eglinton Ave E, Unit 101/111 Toronto, ON M1J 2H7",43.7437054,-79.2147346
97,"10 Gateway Blvd, Suite 104 Toronto, ON M3C 3A1",43.7098214,-79.3326132
98,"120C Industry St Toronto, ON M6M 4L8",43.6943266,-79.4930614
99,"925 Albion Ave, Suite 306 Toronto, ON M9V 3A6",43.735637,-79.563022
100,"Children's Aid Society of Toronto 20 De Boers Dr, Unit 250 Toronto, ON M3J 0H1",43.7520036,-79.4653329
101,"245 Eglinton Ave E, St 300 Toronto, ON M4P 0B3",43.7081764,-79.38957
102,"120 Norfinch Dr, Unit 39 Toronto, ON M3N 1X3",43.7613892,-79.5303979
103,"555 Richmond St W, 3rd Fl Toronto, ON M5V 3B1",43.6463654,-79.4023122
104,"555 Richmond St W, 3rd Fl Toronto, ON M5V 3B1",43.6463654,-79.4023122
105,"3660-A Midland Ave Toronto, ON M1V 0B8",43.8136506,-79.2920554
106,"33 Pritchard Ave Toronto, ON M6N 1T4",43.6701854,-79.4888876
107,"170 Jarvis St Toronto, ON M5B 2B7",43.6555181,-79.3741532
108,"412 Queen St E Toronto, ON M5A 1T3",43.6561511,-79.3625224
109,"St Nicholas Greek Orthodox Church 3840 Finch Ave E, Basement Toronto, ON M1T 3T4",43.8005066,-79.3012542
110,"33 Cecil St Toronto, ON M5T 1N1",43.6562436,-79.3961954
111,"1280 Finch Ave W, Suite 203 Toronto, ON M3J 3K6",43.7644571,-79.4887924
112,"1515 Albion Rd Toronto, ON M9V 1B2",43.7398199,-79.5839601
113,"888 Lawrence Ave E Toronto, ON M3C 1P6",43.7366693,-79.34738
114,"35 Fairview Mall Dr Toronto, ON M2J 4S4",43.7790599,-79.3468197
115,"30 Sewells Rd Toronto, ON M1B 3G5",43.8081621,-79.2162806
116,"Monsignor Fraser College - Annex Campus 700 Markham St, Rm 215 Toronto, ON M6G 2M3",43.6672915,-79.4137636
117,"1745 Eglinton Ave W Toronto, ON M6E 2H4",43.6960769,-79.4472704
118,"5120 Yonge St Toronto, ON M2N 5N9",43.7681507,-79.4143751
119,"1785 Finch Ave W Toronto, ON M3N 1M6",43.7589663,-79.5073829
120,"170 Memorial Park Ave Toronto, ON M4J 2K5",43.6921393,-79.329711
121,"2375 St Clair Ave W Toronto, ON M6N 1K9",43.6694731,-79.4806052
123,"4968 Dundas St W Toronto, ON M9A 1B7",43.6476187,-79.5300069
124,"Jamaican Canadian Association 995 Arrow Rd Toronto, ON M9M 2Z5",43.7497253,-79.5325775
125,"4400 Jane St, Suite 108 Toronto, ON M3N 2K4",43.765209,-79.520077
126,"2468 Eglinton Ave W, Unit 3 Toronto, ON M6M 5E2",43.6919292,-79.4684109
128,"205 Parliament St Toronto, ON M5A 2Z4",43.6564198,-79.3645419
129,"4600 Bathurst St, Suite 325 Toronto, ON M2R 3V3",43.7641285,-79.4418197
131,"432 Horner Ave Toronto, ON M8W 2B2",43.6037348,-79.538083
132,"539A Mount Pleasant Rd Toronto, ON M4S 2M5",43.7028071,-79.3875269
133,"Entrance on Cowan Avenue 1313 Queen St W, Suite 133 Toronto, ON M6K 1L8",43.6410641,-79.4332473
134,"1954 Gerrard St E Toronto, ON M4E 2B1",43.6811411,-79.3104543
135,"476 Grace St Toronto, ON M6G 3A9",43.6631119,-79.4188463
136,"1497 Queen St W, Unit 103 Toronto, ON M6R 1A3",43.6396457,-79.4404206
137,"956 Wilson Ave Toronto, ON M3K 1E7",43.7298927,-79.4711269
138,"250 Dundas St W, Suite 603 Toronto, ON M5T 2Z5",43.6548492,-79.3896749
139,"12 Flemington Rd Toronto, ON M6A 2N4",43.7195259,-79.4449407
140,"15 Hove St Toronto, ON M3H 4Y8",43.7559813,-79.4413361
